선수,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,홈런,볼넷,삼진,타율
홍창기,삼진,우비,,,우안,,중안/2직,,4구,5,2,1,0,0,1,1,0.294
박해민,우안,,1땅,,좌비,,좌2,1땅,유병,6,2,0,2,0,0,0,0.333
김현수,우홈,,유비,,우비,,우안,,,4,2,3,1,1,0,0,0.235
최승민,,,,,,,,,,0,0,0,1,0,0,0,0
김범석,,,,,,,,중안,,1,1,0,0,0,0,0,1
손호영,,,,,,,,,4구,0,0,0,1,0,1,0,0
오스틴,우비,,유땅,,,중비,중안,,,4,1,0,1,0,0,0,0.375
김민성,,,,,,,,4구,3땅,1,0,0,1,0,1,0,0
오지환,4구,,,2땅,,4구,우홈,우안,,3,2,4,3,1,2,0,0.4
문보경,,우안,,3땅,,좌홈,우2,좌희비,,4,3,3,2,1,0,0,0.462
정주현,,,,,,,,,,0,0,0,0,0,0,0,0
박동원,,좌안,,삼진,,4구,3안,,,3,2,0,1,0,1,1,0.385
허도환,,,,,,,,좌2,,1,1,1,0,0,0,0,1
문성주,,투비,,,4구,좌비,좌중3,,,3,1,2,2,0,1,0,0.214
안익훈,,,,,,,,4구,,0,0,0,0,0,1,0,0
신민재,,2땅,,,투희번,3땅,유땅,2땅,,4,0,1,0,0,0,0,0.188
,,,,,,,,,,39,17,15,15,3,8,2,
